ID,許可證字號,中文品名,主要功效,主要成分,申請商,警語簡化,網址
370,衛署健食字第A00159號,濃韻烏龍茶,"調節血脂, 不易形成體脂肪",兒茶素45±9 mg/100 mL,統一企業股份有限公司,無,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=143
371,衛署健食字第A00160號,濃韻日式綠茶,調節血脂,兒茶素43.5±8.7 mg/100 mL,統一企業股份有限公司,無,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=144
372,衛署健食字第A00161號,桂格喝的燕麥(原味),"調節血脂, 不易形成體脂肪",每 100 毫升含-葡聚醣：320～480 毫克,佳格食品股份有限公司,(1)攝取本產品應取代等量之日常穀類飲食。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=141
373,衛署健食字第A00162號,雙效活靈芝滋補液,"免疫調節, 延緩衰老",靈芝粗多醣,佳格食品股份有限公司,1.有過敏體質或自體免疫體質者，請洽醫師意見小心使用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=158
374,衛署健食字第A00163號,暢酵順保健醱酵粉,胃腸功能改善,總乳酸菌,美樂佛國際行銷有限公司,本產品含有奶類。乳酸菌培養製程中，使用奶類和大豆類。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=153
375,衛署健食字第A00164號,衛傑膠囊,胃腸功能改善,活性總乳酸菌,葡萄王生技股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=152
376,衛署健食字第A00165號,台糖蜆精,"抗疲勞, 護肝",以肝醣：≧7.5 毫克/毫升，做為品質管制指標成分。,台灣糖業股份有限公司,1. GOT、GPT值持續異常升高可能是肝臟疾病所引起，應立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=147
377,衛署健食字第A00167號,綠藻+乳酸菌錠,胃腸功能改善,芽孢乳酸菌,味丹生物科技股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=159
378,衛署健食字第A00169號,優護奶粉,胃腸功能改善,"總乳酸菌 1.7×10^6 CFU以上
比菲德氏菌 1.7×10^7 CFU以上",佳格食品股份有限公司,一歲以下的嬰兒不得食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=163
379,衛署健食字第A00170號,清唐速膠囊,調節血糖,1. Monacolin K 2. Quercetin,美樂佛國際行銷有限公司,1.本產品不具第一型糖尿病患者之血糖調節作用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=406
380,衛署健食字第A00171號,愛之味純濃燕麥(天然原味),"調節血脂, 免疫調節, 胃腸功能改善",β-聚葡萄糖,愛之味股份有限公司,有過敏體質或自體免疫疾病者，請洽詢醫師意見小心食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=149
381,衛署健食字第A00172號,台糖寡醣乳酸菌,胃腸功能改善,果寡醣及活性乳酸菌,台灣糖業股份有限公司,本產品含難消化性麥芽糊精，食用後可能產生排氣與脹氣現象，若有不適者，請停止食用,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=150
382,衛署健食字第A00173號,納麴Q10膠囊,調節血脂,Monacolin K,永信藥品工業股份有限公司,1. 患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=151
