ID,許可證字號,中文品名,主要功效,主要成分,申請商,警語簡化,網址
95,衛部健食字第A00348號,美海雲®褐藻醣膠膠囊,免疫調節功能,品管指標成分:岩藻糖,漢和健康事業有限公司,本產品不能取代正規醫療及相關藥品，正在接受治療者仍須就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=380
96,衛部健食字第A00349號(本證失效),氣津堂乳酸菌菊苣飲(奶茶口味),胃腸功能改善,總乳酸菌及菊苣纖維,傑登生研有限公司,本產品不得代替藥使用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=413
97,衛部健食字第A00350號,炳翰人參花茶包,調節血脂功能,人參皂苷-Rb1,炳翰製藥廠股份有限公司,不宜多食。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=381
98,衛部健食字第A00351號,金盛旺極品椴木牛樟芝膠囊,護肝,可能總三萜,金盛旺生物科技股份有限公司,1.AST(GOT)、ALT(GPT)值持續異常升高，可能是肝臟疾病所引起，應立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=412
99,衛部健食字第A00352號,青春蜂王漿飲,延緩衰老功能,癸烯酸,源穎生技股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=416
100,衛部健食字第A00353號,桐核麥養生液,調節血脂,每份60毫升含β-D-glucans 29.76 mg-44.64 mg,桐核麥生物科技股份有限公司,均衡的飲食及適當的運動為身體健康之基礎。如有肝功能及凝血功能異常或過敏性病患者請洽詢醫師或營養師 有關使用本產品之意見。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1558
101,衛部健食字第A00354號,纖康茶,調節血脂,總膳食纖維,三皇生物科技股份有限公司,食用本產品後可能會產生排氣與脹氣現象，若有不適者，請停止飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=414
102,衛部健食字第A00355號,GM-BMD益生菌膠囊,骨質保健功能,植物乳桿菌GMNL-662,景岳生物科技股份有限公司,無,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=417
103,衛部健食字第A00356號,舒甘調達食品膠囊,護肝功能,"薑黃素
甘草素",宇力鑫生技股份有限公司,1.GOT、GPT持續異常升高可能是肝病變所引起，應立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=420
104,衛部健食字第A00357號,百傲固力錠,骨質保健,"2,3,4-三羥基丁酸鈣",漢堃精英有限公司,一日請勿超過15錠，多食無益。依照建議攝取量攝取本品，每日將攝入鈣1705毫克，加上一般膳食後，已接近國人膳食營養素參考,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=422
105,衛部健食字第A00358號,紅麴磷蝦油軟膠囊,調節血脂功能,HMG-CoA 還原酵素抑制劑-Monacolin K,美無痕生物科技股份有限公司,1.本產品含有蝦及其製品，不適合其過敏體質者食用,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=418
106,衛部健食字第A00359號,綠淨肽®膠囊,調節血脂,本產品以精胺酸為品管指標成分,兆鴻生技股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=419
107,衛部健食字第A00360號,萬歲牌機能杏仁什榖堅果飲,調節血脂功能,菊苣纖維,聯華食品工業股份有限公司,本品含菊苣纖維，飲用後可能產生脹氣及排氣等現象，如有不適者，請停止飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=423
108,衛部健食字第A00361號,Simple Power能量補給飲料,抗疲勞,"品管指標成分：
  鎂：105 ± 21 mg/瓶",名牌食品股份有限公司,1. 本產品不能治療矯正任何疾病，身體不適者仍需就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=424
109,衛部健食字第A00362號,桂格葡萄糖胺高鈣奶粉,骨質保健,每一份量220毫升：含鈣560 ~ 840毫克。,佳格食品股份有限公司,有乳糖不耐症者，食用前請先洽詢醫師或營養師意見；本產品含有菊苣纖維，飲用後若有脹氣不適者請停止飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=427
110,衛部健食字第A00363號,山竹養生液,調節血糖,α-mangostin ：19.2 mg ± 15%/15 mL,基業生物科技股份有限公司,1.本產品非屬治療及矯正疾病用藥品，糖尿病患者仍需就醫治療。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=425
111,衛部健食字第A00364號,高鈣鮮豆漿,"調節血脂, 骨質保健",黃豆蛋白、鈣,光泉牧場股份有限公司,1.痛風、糖尿病、易有腎結石病患及腎臟病患請洽詢醫師、藥師或營養師有關食用本品之意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=428
112,衛部健食字第A00365號,洛神花養生沖泡粉末食品,"調節血脂, 護肝",沒食子酸,愛之味股份有限公司,多食無益。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=432
113,衛部健食字第A00366號,生展超免菌®益生菌粉末,免疫調節,總乳酸菌,生展生物科技股份有限公司,1.有自體免疫相關疾病者，請先諮詢醫師後再謹慎食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=429
114,衛部健食字第A00367號,活芯®升級版軟膠囊,抗疲勞,松果菊苷、還原型輔酵素Q10,杏輝藥品工業股份有限公司,嬰幼兒、15 歲以下小孩、孕婦、哺乳期間婦女、服用抗凝血功能藥物(如:Warfarin)者，不宜食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=430
115,衛部健食字第A00368號,GSH 顧甘肽膠囊,護肝,穀胱甘肽 Glutathione,創百股份有限公司,1.對穀胱甘肽過敏者、孕婦、哺乳婦女及嬰幼兒應避免食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=433
116,衛部健食字第A00369號,舞纖停複方膠囊,不易形成體脂肪,"總兒茶素
迷迭香酸",創益生技股份有限公司,(1)孕婦、哺乳婦女、服用藥物及重大疾病患者，食用前請諮詢醫藥專業人員。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=431
117,衛部健食字第A00370號,維奇鉻活力粉狀營養飲品,調節血糖,"三價鉻
菊糖",宜果國際股份有限公司,1.本產品非屬治療或矯正疾病用藥品，糖尿病患者仍需就醫治療。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=434
118,衛部健食字第A00371號,葡眾樟芝菌絲體生技營養飲品,護肝,"1.芝麻素: 1.6~2.4毫克/180毫升
2. γ-Aminobutyric",葡萄王生技股份有限公司,1.AST(GOT)、ALT(GPT)值持續異常升高，可能是肝臟疾病所引起，應立即就醫。 2.嬰幼兒、孕婦、哺餵母乳者，,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=435
119,衛部健食字第A00372號,愛之味鮮采蕃茄綜合蔬菜汁,胃腸功能改善,異麥芽寡醣 0.45~0.67 公克/100 毫升,愛之味股份有限公司,無。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=436
120,衛部健食字第A00373號,典藏牛樟芝膠囊,"免疫調節, 護肝","可能總三萜：44~66 毫克/2粒
樟芝酸K：0.144~0.216 毫克/2粒",台灣利得生物科技股份有限公司,1.嬰幼兒、孕婦、哺餵母乳者，如欲食用本產品，請洽詢醫師或醫療專業人員。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=437
121,衛部健食字第A00374號,Antromax®牛樟芝菌絲體膠囊,護肝,每份含可能總三萜 12.5~18.7 mg、腺苷0.09~0.135 mg,綠茵生技股份有限公司,1.AST、ALT持續異常升高，可能是肝臟疾病所引起，應立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=438
122,衛部健食字第A00375號,田原香靈芝滴雞精,"免疫調節, 抗疲勞","每份含
免疫調節：靈芝酸A：0.264~0.396毫克
抗疲勞：總支鏈胺基酸：0",香港商田原香有限公司台灣分公司,1. 支鏈有機酸尿症(例如楓糖尿症)患者應避免食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=441
123,衛部健食字第A00376號,康貝特能量飲料,護肝,牛磺酸 ：1470毫克/150毫升,葡萄王生技股份有限公司,1. AST、ALT 值持續異常升高，可能是肝臟疾病所引起，應立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=440
124,衛部健食字第A00378號,御沛方九將軍膠囊,護肝,類薑黃素    104 -156毫克/公克,源穎生技股份有限公司,1. AST(GOT)、ALT(GPT)值持續異常升高可能是肝臟疾病所引起，應立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=444
125,衛部健食字第A00379號,正甘能膠囊,護肝,以腺苷為品管指標成分，每粒膠囊含腺苷 1.442 mg±20% /粒。,泰宗生物科技股份有限公司,無。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1446
126,衛部健食字第A00380號,台酒生技β-聚葡萄糖膠囊,免疫調節,"每顆膠囊495毫克，內容物400毫克，
含保健功效相關成分β-聚葡萄糖 225.",臺灣菸酒股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1449
127,衛部健食字第A00381號,極品牛樟芝菌絲體膠囊,護肝,以4-安卓奎諾爾B 為品質管制指標,合一生技股份有限公司,1.AST(GOT)、ALT(GPT)值持續異常升高可能是肝臟疾病所引起，應立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1445
128,衛部健食字第A00382號,威瑪舒培活力錠,抗疲勞,"保健功效之相關成分含量，每份含
紅景天苷     2.808~4.212毫克
:",易陞植物生技有限公司,懷孕、15歲以下小孩或授乳期間婦女，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1453
129,衛部健食字第A00383號,農純鄉滴雞精,抗疲勞,以總支鏈胺基酸為品管指標成分：0.288 ~ 0.432%,吉康食品股份有限公司,支鏈有機酸尿症(楓糖尿症)患者應避免食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1451
130,衛部健食字第A00384號,品純萃鱸魚精,抗疲勞,總支鏈胺基酸：272~408 mg/60 g,食安生技股份有限公司,1.支鏈有機酸尿症(例如楓糖尿症)患者應避免食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1452
131,衛部健食字第A00385號,金肽康五味子錠,護肝,"五味子乙素   0.74~1.1 mg/g 
芝麻素            9.",德康生物科技股份有限公司,1.	AST(GOT)、ALT(GPT)值持續異常升高可能是肝臟疾病所引起，應立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1454
132,衛部健食字第A00386號,黃金組合甘甘好膠囊,"免疫調節, 護肝","每粒膠囊627毫克含
1.薑黃素 85 ± 17毫克/粒
2.人參皂苷Rb1 4",康霈生技股份有限公司,1.一日請勿超過1粒，多食無益。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1455
133,衛部健食字第A00387號,健康3D紅麴+鉻雙效錠,"調節血脂, 調節血糖","Monacolin K：8.0~12.0毫克/份 
三價鉻：132.8~199.",統一企業股份有限公司,1.若正值懷孕及哺乳期間請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1456
134,衛部健食字第A00388號,桂格萃雞精,抗疲勞,『總支鏈胺基酸「Leucine 、Isoleucine 、Valine 」：每6,佳格食品股份有限公司,支鏈有機酸尿症(例如楓糖尿症)患者應避免食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1459
135,衛部健食字第A00389號,維士比倍勁X水補給飲,抗疲勞,牛磺酸 0.28% ~ 0.42%,三洋藥品工業股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1457
136,衛部健食字第A00390號,挺固錠,骨質保健,"Daidzein   0.84±0.16% 
Genistein   0.84±",臺鹽實業股份有限公司,1.不建議兒童、少年、孕婦、哺乳期婦女、婦科腫瘤患者或有其家族病史者食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1458
137,衛部健食字第A00391號,賢者之食桌 纖維粉末包,"調節血脂, 調節血糖",總膳食纖維：5~6 g/份,金車大塚股份有限公司,1.本產品含難消化性麥芽糊精，食用後可能產生排氣與脹氣現象，若有不適者，請停止食用 。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1460
138,衛部健食字第A00392號,愛之味分解茶紅豆茶,不易形成體脂肪,菊苣纖維      1.2～1.8公克/100 毫升,愛之味股份有限公司,本品含菊苣纖維，飲用後可能產生脹氣及排氣等現象，如有不適者，請停止飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1463
139,衛部健食字第A00393號,金車補給園薑黃萃取物+GSH複方膠囊,護肝,"每1粒膠囊
類薑黃素   200 ± 40毫克
穀胱甘肽 125 ± 25毫克",金車股份有限公司,1.對穀胱甘肽過敏者、孕婦、哺乳婦女及嬰幼兒應避免食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1464
140,衛部健食字第A00394號,婕樂纖 纖飄錠,"調節血脂, 不易形成體脂肪",兒茶素 80~120 毫克/錠。,維科生技股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1480
141,衛部健食字第A00395號,正官庄高麗蔘粉EVERYTIME,"免疫調節, 護肝",人蔘皂苷,正官庄股份有限公司,本產品含難消化性麥芽糊精，食用後可能產生排氣與脹氣現象，若有不適者，請停止食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1479
142,衛部健食字第A00396號,人可和樟芝菌絲體膠囊,"免疫調節, 護肝","每粒膠囊595毫克，內容物500毫克
含保健功效相關成分:
可能總三萜61.00",永豐萊得股份有限公司,(1)嬰幼兒、孕婦、哺餵母乳者，如欲食用本產品，請洽詢醫師或醫療專業人員。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1481
143,衛部健食字第A00397號,勝立王朝滴雞精(原味),抗疲勞,總支鏈胺基酸：0.45±0.09%,慶豐冷凍實業有限公司,支鏈有機酸尿症(楓糖尿症)患者應避免食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1482
144,衛部健食字第A00398號,桂格高鈣奶粉,骨質保健,"品管指標成分：
每一份量40公克：含鈣560 ~ 840毫克。
保健功效成分：
",佳格食品股份有限公司,有乳糖不耐症者，食用前請先洽詢醫師或營養師意見；本產品含有菊苣纖維，飲用後若有脹氣不適者請停止飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1483
145,衛部健食字第A00399號,葡眾猴頭菇菌絲體膠囊,延緩衰老,每一粒含有:猴頭素A 1.32-1.98 mg,葡萄王生技股份有限公司,無,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1484
146,衛部健食字第A00400號,優纖 New Plus錠,不易形成體脂肪,表沒食子兒茶素沒食子酸酯：38±7.5毫克/錠,大豊開發股份有限公司,無,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1485
147,衛部健食字第A00401號,苷寳良®uSOLA紅麴植萃膠囊,護肝,Monacolin K   2.0~3.0 mg/g,王子製藥股份有限公司,1. 患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1486
148,衛部健食字第A00402號,新胺-水溶性殼醣胺,調節血脂,水溶性幾丁聚醣為0.31公克，含量為%,年代健康生活事業股份有限公司,1.對魚蝦過敏者建議不可食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1487
149,衛部健食字第A00403號,娘家®滴雞精,抗疲勞,總支鏈胺基酸 0.219 g - 0.329 g / 65 mL,元進莊企業股份有限公司,支鏈有機酸尿症(例如楓糖尿症)患者應避免食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1488
150,衛部健食字第A00404號,每朝健康無糖紅茶,不易形成體脂肪,總膳食纖維0.87 - 1.29公克/100毫升,維他露食品股份有限公司,本產品含難消化性麥芽糊精，飲用後可能產生脹氣及排氣等現象，若有不適者，請停止使用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1489
151,衛部健食字第A00405號,YOGA高纖路易博士茶,延緩衰老功能,品管指標成分：總兒茶素628 mg/L ~ 942 mg/L,統一企業股份有限公司,本產品含難消化性麥芽糊精，食用後可能產生排氣與脹氣現象，若有不適者，請停止食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1493
152,衛部健食字第A00406號,三得利 芝麻明EX 膠囊,護肝,"每份含
芝麻素類 ：8-12毫克
維生素E ：44-66 毫克α-TE",新加坡商三得利健益亞太股份有限公司,無,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1491
153,衛部健食字第A00407號,菁萃複方錠,骨質保健,"保健功效之相關成分含量：每錠含維生素D3 0.39~0.86 微克
品管指標成分",生達化學製藥股份有限公司,1.本產品含有牛奶鈣、乳糖、酪蛋白磷酸胜肽、卵磷脂複方成分(含乳清粉、乳糖、酪蛋白鈉)不適合其過敏體質者食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1490
154,衛部健食字第A00408號,杜仲葉人參風味飲,調節血糖,綠原酸Chlorogenic acid  50 mg/kg±20%,炳翰製藥廠股份有限公司,無,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1497
155,衛部健食字第A00409號,保衛佳®膠囊,胃腸功能改善,"保健功效之相關成分含量：
半乳甘露聚醣：303.0~454.5 毫克/粒

品管",扶陞貿易有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1494
156,衛部健食字第A00411號,蘭亭牛樟芝菌絲體膠囊,調節血糖,:50mg±10mg,蘭亭生物科技股份有限公司,(1)	嬰幼兒、孕婦、哺餵母乳者，如欲食用本產品，請洽詢醫師或醫療專業人員。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1502
157,衛部健食字第A00412號,聚安堂納豆紅麴膠囊,調節血脂,"保健功效之相關成分含量
Monacolin K  1.91~2.86 mg/粒",台灣優杏生物科技股份有限公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1503
158,衛部健食字第A00413號,老協珍熬雞精,抗疲勞,總支鏈胺基酸 0.58% ~ 0.86%,老協珍股份有限公司,支鏈有機酸尿症(楓糖尿症)患者應避免使用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1507
159,衛部健食字第A00414號,氧甘寶錠,"抗疲勞功能, 護肝功能",護肝：保健功效之相關成分含量：薑黃素168~252 mg/3錠,久禾生物科技有限公司,1.本品含薑黃素，孕婦、哺乳婦及嬰幼兒應避免食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1505
160,衛部健食字第A00415號,双纖麥茶,不易形成體脂肪,"難消化性麥芽糊精0.73~1.09公克/100毫升
菊苣纖維 0.60~0.90",愛之味股份有限公司,產品含有菊苣纖維，飲用後促進腸道蠕動，並產生脹氣及排氣等現象，若有不適者，請停止飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1504
161,衛部健食字第A00416號,深海礦萃海洋深層水,調節血脂功能,每瓶含鎂：280 ppm±10%,光隆生化科技股份有限公司,腎功能不佳者，請遵循醫師指示飲用,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1506
162,衛部健食字第A00417號,七采鈣樂飲,骨質保健,"保健功效成分：維生素D3 10.08 ~ 15.12 μg/包
品管指標成分：鈣",德康生物科技股份有限公司,本品含有菊苣纖維，飲用後若有脹氣不適者請停止飲用。,http://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1508
163,衛部健食字第A00418號,聿健®活力膠囊,調節血脂功能,以蝦紅素為品管指標成分：0.22% ~ 0.33%,聿新生物科技股份有限公司新竹科學園區分公司,服用抗凝血藥品之病患不宜食用。,
164,衛部健食字第A00419號,悅氏麥仔茶,胃腸功能改善,"每份550毫升含有異麥芽寡醣
 4.75±0.95公克。",名牌食品股份有限公司,1.本產品不能治療矯正任何疾病，身體不適者仍需就醫。,
165,衛部健食字第A00420號,金善錠,不易形成體脂肪,"羥基檸檬酸  220 ~ 330 mg/錠 
綠原酸       20~30mg",亞鋐生醫國際有限公司,1.如出現消化道不適、頭痛、頭暈、口乾、、噁心、出汗等不適症狀，應停止使用並就醫。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1512
166,衛部健食字第A00421號,固立穩定 錠狀食品,骨質保健,本產品以鈣為功效指標成分，每份  36～54毫克。,中化健康生技股份有限公司,1.正在接受治療之骨質疏鬆患者，請諮詢醫師或營養師有關食用本品之建議。,
167,衛部健食字第A00422號,葡萄王易得纖益生菌膠囊,不易形成體脂肪,品管指標成分：活性總乳酸菌≧2.1×1010 CFU/g,葡萄王生技股份有限公司,本品含乳製品，對乳製品過敏者謹慎使用。,
168,衛部健食字第A00423號,無加糖鮮豆漿,調節血脂,黃豆蛋白 2.7 ~ 4.1 g/100 mL,光泉牧場股份有限公司,1.本產品含大豆，對其過敏者不宜食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1513
169,衛部健食字第A00424號,孅柑萃膠囊,不易形成體脂肪,柚皮苷  126.8~190.2 毫克/克內容物,百達醫企業有限公司,1.一日請勿超過2顆，多食無益。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1516
170,衛部健食字第A00425號,燃燒日記膠囊,不易形成體脂肪,"保健功效成分：兒茶素283±56.6 毫克/克內容物。
品管指標成分：綠原酸3.",麗彤生醫科技股份有限公司,1.本產品含有乳糖，不適合其過敏體質者食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1515
171,衛部健食字第A00426號,萬歲牌機能纖蔬燕麥堅果飲,調節血脂功能,菊苣纖維3.44～5.16 公克/32公克,聯華食品工業股份有限公司,本品含菊苣纖維，飲用後可能產生脹氣及排氣等現象，如有不適者，請停止飲用,
172,衛部健食字第A00427號,可果美O tomate 100%蕃茄檸檬汁,調節血脂,每一份含：茄紅素 22.8-34.2毫克。,臺灣可果美股份有限公司,開瓶後請盡早飲用，若未喝完，請置於冷藏庫中保存，建議於當日飲用完畢。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1517
173,衛部健食字第A00428號,安永鱸魚精 健康御品,抗疲勞,每包 60 mL含總支鏈胺基酸規格：434.4 mg ± 20%,宜蘭安永樂活股份有限公司,1.	本產品含有魚類製品，不適合過敏體質者飲用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1519
174,衛部健食字第A00429號,正官庄高麗蔘精EVERYTIME PLUS,"免疫調節, 抗疲勞","人蔘皂苷：
21.2~31.8 mg/10 mL",正官庄股份有限公司,(1)小兒、孕婦或哺乳期，應謹慎食用或尋求醫師建議。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1521
175,衛部健食字第A00430號,威瑪舒培®活力錠,抗疲勞,紅景天苷：1.44~2.16 mg/g,臺灣威瑪舒培有限公司,懷孕、15歲以下小孩或授乳期間婦女，請勿食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1523
176,衛部健食字第A00431號,茶有FU-三分糖紅茶,胃腸功能改善,總膳食纖維：1.46 %~ 2.20%,三皇生物科技股份有限公司,1. 本產品含膳食纖維，食用後可能會產生排氣與脹氣現象，若有不適者，請停止飲用。2. 孩童、懷孕及哺乳婦女與對咖啡因敏感,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1528
177,衛部健食字第A00432號,Hi-Q鱸魚精,抗疲勞功能,總支鏈胺基酸0.48% ~ 0.72%,中華海洋生技股份有限公司,本產品含有魚類製品，不適合對其過敏體質者飲用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1529
178,衛部健食字第A00433號,波爾益牙無糖口香糖-薄荷風味,牙齒保健,每份15克含木糖醇 6.0 ± 1.2公克,金車股份有限公司,1.少吃甜食，維持口腔衛生是防止蛀牙的最基本要素。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1532
179,衛部健食字第A00434號,紅薏仁飲,調節血脂,膳食纖維含量：6.2 ± 1.2 g/195 mL,弘陽生技股份有限公司,本產品含紅薏仁，懷孕及授乳期間請勿食用；本產品含難消化性麥芽糊精，食用後可能產生排氣與脹氣現象，若有不適者，請停止食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1527
180,衛部健食字第A00435號,善又美草本複方膠囊,不易形成體脂肪,"二氫楊梅素：290.4 ~ 435.6 mg/2粒
橙皮苷：5.68 ~ 8.5",科達製藥股份有限公司,無,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1530
181,衛部健食字第A00436號,益酸寧濃縮細粒,胃腸功能改善,"芍藥甙：1.16~1.74 mg/g 
甘草酸：1.26~1.90 mg/g",科達製藥股份有限公司,(1)本品已含鈣質相關成分，建議有補充鈣片或其他綜合維他命者應酌於考量。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1531
182,衛部健食字第A00437號,氣冷雞滴雞精,抗疲勞,總支鏈胺基酸 264±53毫克/50毫升,洽富實業股份有限公司,支鏈有機酸尿症(楓糖尿症)患者應避免食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1533
183,衛部健食字第A00438號,谷穩錠,骨質保健,"大豆異黃酮苷素 4.56~6.84 mg/g
金雀異黃酮苷素 4.56~6.84",上浤醫藥生技股份有限公司,1.不建議兒童、少年、孕婦、哺乳期婦女、婦科腫瘤患者或有其家族病史者食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1534
184,衛部健食字第A00439號,BB神采速纖飲,抗疲勞,牛磺酸：22.4 ~ 33.6 mg/g,振翔生物科技有限公司,1.本品含有少量咖啡因，對咖啡因敏感者，請斟酌使用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1535
